id,TIME,Gender,Age,MarStat,Role,SportBack,SpHis,SpLevel,SportExp,PRAT_,PGRT_,SACST_,SATT_,SACENT_,SAUNCT_,SACOT_,SACHT_,PAT_,NAT_,ABALT_,REST_,PCSET_,PCHOPET_,PCREST_,PCOPT_,DHAST_,DUPT_,MLE,UpLift,REGGBT_,REGST_
47,4,1,48,2,2,1,2,,,3.714285714,3.777777778,3.25,2.5,3,2,2,3.5,2,1.1,0.9,3.56,4,4,17,3.5,2.5,2.357142857,2,,5,14
48,1,1,50,2,2,1,1,2,4,4.714285714,3.555555556,3.75,1.75,3,2.5,3.75,3.5,3.6,1.3,2.3,4.12,4.833333333,4.333333333,21,3.833333333,2.5,3.095238095,1,,6,16
48,2,1,50,2,2,1,1,2,4,4.142857143,4.666666667,4.25,3.25,2.75,1.75,2.75,3.75,3.6,1.5,2.1,3.36,4.166666667,3.833333333,19,3.5,2.428571429,2.857142857,1,,7,17
48,3,1,50,2,2,1,1,2,4,4.285714286,4.111111111,4,1.75,2.5,1.25,3.5,3.5,4.1,1.1,3,4.48,5,5.166666667,23,4.166666667,2.095238095,3.166666667,2,,3,15
48,4,1,50,2,2,1,1,2,4,3.857142857,3.888888889,4.25,1.75,2.75,2,4,3.5,3.7,1.5,2.2,3.88,5,4.5,19,4,2.214285714,3.071428571,2,,4,13
49,1,2,47,2,1,1,2,,,4,4.555555556,4.25,1.25,3.75,1,4.5,4,4.5,1.2,3.3,4.44,5,5.166666667,25,4.333333333,2.095238095,3.547619048,2,No,2,13
49,2,2,47,2,1,1,2,,,3.714285714,4.444444444,4.5,1.75,3.5,1.25,4.75,4.5,4.2,1.2,3,4.68,5.833333333,5.5,24,4.833333333,2.19047619,4.142857143,2,No,1,8
49,3,2,47,2,1,1,2,,,4.285714286,4.888888889,4.75,1,5,1.75,4.75,5,3.8,1,2.8,4.8,6,5.5,27,4,2.30952381,3.380952381,2,,0,12
49,4,2,47,2,1,1,2,,,4.142857143,4.111111111,4,1,3,1,4,4,3.8,1,2.8,4.2,5.666666667,5.166666667,24,5,2.142857143,3.785714286,2,,-1,12
50,1,2,25,1,2,1,1,2,2,3.571428571,3.333333333,4,2,3.75,1.75,4,3.25,3.6,1.5,2.1,3.92,4.333333333,4.5,22,3.5,2.238095238,2.619047619,2,,4,14
50,2,2,25,1,2,1,1,2,2,3.857142857,3.444444444,4,2,3.25,2,4,3.5,4.1,1.5,2.6,3.84,4.5,4.333333333,22,3.333333333,2.261904762,2.642857143,2,,5,17
50,3,2,25,1,2,1,1,2,2,4,3.333333333,3.75,1.75,3.5,1.75,4,3.5,3.7,1.9,1.8,3.72,4.5,4.5,20,3.666666667,2.404761905,2.761904762,2,,4,14
50,4,2,25,1,2,1,1,2,2,3.571428571,3.222222222,4,2,3.5,2,4,3.5,3.7,1.4,2.3,3.76,4.333333333,4.166666667,21,3.666666667,2.380952381,2.523809524,2,,2,16
51,1,2,41,1,2,1,1,2,3,4.428571429,1.888888889,3.75,2.25,2.75,1.75,2.5,2.75,3,1.3,1.7,3.44,3.333333333,4,22,2.5,2.476190476,2.857142857,1,,4,14
51,2,2,41,1,2,1,1,2,3,3.714285714,2.444444444,3,2.75,3.5,1.75,1.5,2.25,2,1.3,0.7,3.12,4.5,3,21,2.666666667,2.69047619,2.80952381,2,Seeing the new growth in the Spring is a uplift because it shows that things can flourish even after darkness of Winter and gives hope in all aspects.,4,13
51,3,2,41,1,2,1,1,2,3,4,2.444444444,4.5,2.25,3.5,1.75,2.5,2.25,3.1,1.4,1.7,3.25,3.666666667,3.166666667,24,2.333333333,2.404761905,2.976190476,2,,2,16
51,4,2,41,1,2,1,1,2,3,4.285714286,2.333333333,3,1.75,2.5,2.25,2,2.25,2.6,1.2,1.4,3.32,4.166666667,3.5,22,2.5,2.5,3.166666667,2,,2,11
52,1,1,28,1,2,1,2,,,4.714285714,4.222222222,4,3.25,4.25,2.75,3,3.25,3.3,1.7,1.6,3.48,4,3.5,19,4.5,3.333333333,2.30952381,2,no,4,15
52,2,1,28,1,2,1,2,,,4,3.333333333,3.5,4.25,4.5,2.75,2.5,3.5,3.3,2.7,0.6,2.68,3.833333333,4.166666667,16,3.333333333,3.238095238,2.761904762,2,,8,18
52,3,1,28,1,2,1,2,,,3.571428571,2.777777778,3.5,3.5,3,3.25,2.75,3.75,2.6,2,0.6,2.64,2.833333333,2.833333333,12,2.666666667,3.333333333,2.857142857,2,,6,19
52,4,1,28,1,2,1,2,,,2.714285714,3.111111111,2.75,3,3,2.75,3.5,3,1.5,1.4,0.1,2.84,3.666666667,3.833333333,14,3.833333333,3.119047619,3.023809524,2,,8,20
53,1,1,29,1,2,1,1,2,4,4.714285714,4,4.5,2.5,3.25,2,2,4.75,3.7,1.8,1.9,4,5.166666667,5.166666667,24,4.333333333,2.19047619,2.714285714,2,,7,26
53,2,1,29,1,2,1,1,2,4,3.857142857,3.888888889,4.5,3.5,3.75,2.5,2.5,4.25,3.4,1.8,1.6,4.04,4.833333333,5,22,3.166666667,2.30952381,2.714285714,2,,3,13
53,3,1,29,1,2,1,1,2,4,5,4.555555556,4.75,3,4.25,2,1.75,4.5,3.9,2.8,1.1,4.16,5.166666667,5.666666667,26,3.666666667,1.880952381,2.523809524,2,,1,11
53,4,1,29,1,2,1,1,2,4,4,1,1,1,1,1,1,1,1,1,0,1,5,5,20,5,1,1.071428571,1,,-1,12
54,1,2,24,1,2,1,1,2,1,3.285714286,4,4.5,1.25,2.25,1,5,4.25,3.3,1.6,1.7,4.32,5.5,5.166666667,25,4.166666667,2.357142857,3.547619048,2,Boyfriend :),4,17
54,2,2,24,1,2,1,1,2,1,3.428571429,3.888888889,4.5,1.75,3.5,1,4.25,3.75,2.3,1.5,0.8,3.48,5.333333333,5,21,3.666666667,2.452380952,3.761904762,2,Boyfriend :),9,20
54,3,2,24,1,2,1,1,2,1,3.571428571,3.333333333,4.5,1,3.25,1,4,3.75,3.2,1.1,2.1,3.8,5.833333333,4.833333333,21,3.333333333,2.166666667,3.285714286,2,The BF ;-),2,12
54,4,2,24,1,2,1,1,2,1,3.142857143,2.888888889,3.75,1.25,3.25,1.25,4,3.25,2.8,1.5,1.3,3.64,5.166666667,4,22,3.833333333,2.285714286,3.261904762,2,My Boyfriend ;-),6,16
55,1,2,31,2,2,1,2,,,3.428571429,2.333333333,2.75,4,3.25,2.25,1.25,1.75,2.3,2.2,0.1,2.76,3.666666667,3.5,15,3.666666667,2.571428571,2.80952381,2,The gym is a great source of uplift for me - so keeping fit and being healthy might be a good one to list!,13,20
56,1,1,39,2,1,1,1,1,5,4.571428571,3.444444444,3.25,3.25,3.25,2,2.25,3.5,3.9,2.1,1.8,3.08,4.833333333,4.166666667,16,3.166666667,2.523809524,2.761904762,1,,5,12
56,2,1,39,2,1,1,1,1,5,4,4,3.75,2.5,3,2.25,2,3.5,3.9,1.6,2.3,3.68,4.833333333,4.5,21,3,2.357142857,2.523809524,2,,3,12
56,3,1,39,2,1,1,1,1,5,5,4.111111111,4.25,2.5,3.5,1.25,4,4.5,4.2,2,2.2,3.8,5.333333333,5,23,3.666666667,2.5,3.285714286,2,,2,12
56,4,1,39,2,1,1,1,1,5,4.428571429,3.666666667,3.75,2.25,2.75,2,2.75,3.75,3.9,1,2.9,3.76,4.666666667,4.666666667,20,3.5,2.547619048,2.571428571,2,,3,12
57,1,1,28,1,2,1,2,,,3.714285714,3.333333333,3.5,3.25,2,2.5,3,4.25,3.2,1.5,1.7,3.08,3.833333333,4,16,3.666666667,1.976190476,2.380952381,2,,3,12
